Number,Gender,Background,Face color,Occasions,Eyes,Accs on face,Facial Expressions,Accs on head,Clothes,Little Accs
350,1,9,1,2,1,5,1,6,12,0
351,1,10,1,2,1,6,1,6,15,0
352,1,1,1,2,1,0,1,7,20,0
353,2,5,5,2,1,0,1,1,20,0
354,2,10,5,2,1,3,1,10,20,0
355,1,4,2,2,1,3,2,0,11,5
356,2,8,5,2,1,0,1,3,20,3
357,1,1,1,2,1,0,1,2,20,3
358,1,2,1,2,1,6,1,0,20,5
359,1,9,3,2,1,2,1,0,20,5
360,1,1,1,2,1,0,1,3,20,4
361,2,5,5,2,1,0,1,3,20,1
362,1,3,1,2,1,0,1,7,20,1
363,2,2,5,2,1,0,1,3,20,2
364,1,9,1,2,1,1,1,0,20,0
365,2,6,5,2,1,0,1,0,20,2
366,1,3,4,2,1,4,1,10,20,0
367,1,7,1,2,1,0,1,10,20,0
368,1,10,1,2,1,0,1,8,11,1
369,1,8,1,2,1,7,1,0,20,5
370,1,4,2,2,1,5,2,2,20,0
371,1,8,2,2,1,0,2,6,1,3
372,1,10,4,1,1,5,1,8,20,0
373,1,2,1,2,1,0,1,6,14,4
374,1,2,1,2,1,0,1,8,14,1
375,1,1,3,2,2,0,1,6,12,0
376,1,3,3,1,1,0,1,5,20,3
377,1,3,1,2,1,0,1,10,20,5
378,1,8,1,2,1,7,1,5,1,0
379,1,4,2,2,1,0,2,8,15,2
380,1,10,1,2,1,0,1,6,15,0
381,1,8,1,2,1,0,1,1,20,0
382,1,7,2,2,1,4,2,5,13,0
383,1,4,1,2,1,0,1,5,14,3
384,1,1,1,2,1,0,1,6,11,0
385,1,2,4,2,1,5,1,5,13,0
386,1,5,1,2,1,0,1,6,13,1
387,1,9,1,2,2,0,1,5,14,0
388,1,8,1,2,1,0,1,6,13,0
389,1,1,1,2,1,1,1,0,20,5
390,1,6,1,1,1,6,1,6,20,0
391,1,10,1,2,1,0,1,8,15,1
392,1,2,1,2,1,5,1,6,14,0
393,1,1,2,2,1,7,1,8,16,0
394,1,7,1,2,1,4,1,6,11,0
395,1,3,4,2,1,0,1,5,15,0
396,1,2,1,2,1,5,1,5,13,0
397,1,1,1,2,1,0,1,6,12,0
398,1,7,1,2,1,0,1,8,15,0
399,1,9,1,2,1,0,1,4,20,0
400,1,4,1,2,1,0,1,8,12,1
401,1,3,1,2,1,3,1,8,16,0
402,1,4,4,2,1,1,1,0,20,0
403,1,4,1,2,1,0,1,2,20,3
404,1,10,3,2,1,0,1,6,13,3
405,1,4,1,2,1,2,1,0,20,0
406,1,10,1,1,1,5,1,5,20,0
407,1,7,1,2,1,3,1,3,20,0
408,1,4,1,2,1,0,1,8,15,0
409,1,4,1,1,1,0,1,6,20,2
410,1,9,1,2,1,0,1,0,20,3
411,2,5,5,2,1,1,1,0,16,2
412,1,2,3,2,1,0,1,5,13,0
413,1,5,1,2,1,0,1,9,20,3
414,1,2,1,2,1,0,1,5,16,3
415,2,6,5,2,1,1,1,0,10,3
416,1,2,3,2,1,0,1,2,20,3
417,1,9,1,2,1,7,1,9,13,0
418,1,4,1,2,1,3,1,7,15,0
419,2,8,5,2,1,0,1,4,10,3
420,1,1,3,2,1,0,1,3,20,3
421,1,3,1,2,1,2,1,0,1,0
422,1,1,1,2,1,0,1,10,11,1
423,2,8,5,2,1,3,1,0,10,0
424,1,3,1,2,1,0,1,3,14,3
425,1,7,1,2,1,0,1,0,12,3
426,1,2,1,2,1,6,1,0,20,0
427,2,3,5,2,1,2,1,0,20,1
428,1,8,1,2,1,3,1,3,15,0
429,1,10,1,2,1,0,1,4,16,0
430,1,2,3,2,1,5,1,0,16,5
431,1,4,1,2,1,4,1,10,12,0
432,1,7,4,2,1,0,1,0,20,0
433,1,10,1,2,1,0,1,3,20,0
434,1,7,4,2,1,0,1,2,16,1
435,1,1,1,2,1,0,1,10,1,5
436,2,10,5,2,1,1,1,0,20,0
437,1,2,1,2,1,4,1,1,20,0
438,2,6,5,2,1,0,1,1,1,2
439,1,5,3,2,1,7,1,8,1,0
440,1,10,1,2,1,0,1,3,20,5
441,1,7,1,2,2,0,1,0,16,5
442,1,2,1,2,1,0,1,2,14,5
443,1,10,4,2,2,0,1,9,1,0
444,2,2,5,2,1,6,1,3,17,0
445,1,9,4,2,1,5,1,2,14,0
446,1,2,1,2,1,5,1,9,16,0
447,2,10,5,2,1,0,1,4,14,5
448,1,4,1,2,1,0,1,3,15,0
449,2,8,5,2,1,0,1,3,1,5
450,1,5,4,2,1,0,1,7,15,0
451,1,3,3,2,1,4,1,1,20,0
452,1,4,1,2,1,0,1,9,16,4
453,1,7,1,2,1,0,1,0,15,0
454,2,9,5,2,1,0,1,3,1,3
